file,uses_tenant_pool,uses_psycopg_connect,has_set_local_tenant,execute_with_dynamic_sql,execute_calls,status
_archive/automated_product_generator.py,False,False,False,0,2,PARTIAL
_archive/codebase_graph_crawler.py,False,False,False,0,2,PARTIAL
_archive/database_schema_crawler.py,False,False,False,0,3,PARTIAL
_archive/deprecated/app_enhanced.py,False,False,False,0,5,PARTIAL
_archive/deprecated/unified_memory_manager_fix.py,False,False,False,0,3,PARTIAL
_archive/document_processor.py,False,False,False,0,11,PARTIAL
_archive/production_hotfix.py,False,False,False,0,3,PARTIAL
_archive/superseded/ai_os_complete.py,False,False,False,0,9,PARTIAL
_archive/superseded/consciousness_emergence.py,False,False,False,0,3,PARTIAL
_archive/superseded/consciousness_loop.py,False,False,False,0,4,PARTIAL
_archive/superseded/setup_consciousness_db.py,False,False,False,0,1,PARTIAL
_archive/tests/test_market_analyzer_local.py,False,False,False,0,1,PARTIAL
_archive/tests/test_memory_sync.py,False,False,False,0,1,PARTIAL
_archive/true_e2e_ui_testing.py,False,False,False,0,1,PARTIAL
_archive/true_operational_validator.py,False,False,False,0,2,PARTIAL
_archive/verify_production.py,False,False,False,0,1,PARTIAL
affiliate_partnership_pipeline.py,False,False,False,0,2,PARTIAL
ai_human_task_management.py,False,False,False,0,2,PARTIAL
ai_operating_system.py,False,False,False,0,7,PARTIAL
ai_self_awareness.py,False,False,False,0,3,PARTIAL
ai_training_pipeline.py,False,False,False,0,13,PARTIAL
alive_protocols.py,False,False,False,0,1,PARTIAL
always_know_brain.py,False,False,False,0,5,PARTIAL
api/campaigns.py,False,False,False,0,8,PARTIAL
api/communications.py,False,False,False,0,1,PARTIAL
api/events/unified.py,False,False,False,0,6,PARTIAL
api/gumroad_webhook.py,False,False,False,0,3,PARTIAL
api/income_streams.py,False,False,False,0,3,PARTIAL
api/lead_engine.py,False,False,False,0,2,PARTIAL
api/learning.py,False,False,False,0,1,PARTIAL
api/memory.py,False,False,False,0,3,PARTIAL
api/memory_enforcement_api.py,False,False,False,0,1,PARTIAL
api/neural_reconnection.py,False,False,False,0,5,PARTIAL
api/operational_verification.py,False,False,False,0,2,PARTIAL
api/real_ops.py,False,False,True,0,1,PARTIAL
api/revenue.py,False,False,False,0,11,PARTIAL
api/revenue_complete.py,False,False,False,0,5,PARTIAL
api/revenue_control_tower.py,False,False,False,0,2,PARTIAL
api/roofing_labor_ml.py,False,False,False,0,2,PARTIAL
api/stripe_webhook.py,False,False,False,0,8,PARTIAL
api/sync.py,False,False,False,0,4,PARTIAL
api/system_integration.py,False,False,False,0,7,PARTIAL
api_monetization_engine.py,False,False,False,0,4,PARTIAL
autonomous_cicd_management.py,False,False,False,0,2,PARTIAL
autonomous_issue_resolver.py,False,False,False,0,12,PARTIAL
autonomous_system_orchestrator.py,False,False,False,0,5,PARTIAL
base_agent.py,False,False,False,0,1,PARTIAL
campaign_manager.py,False,False,False,0,1,PARTIAL
change_propagation_daemon.py,False,False,False,0,2,PARTIAL
database/verify_tables.py,False,False,False,0,1,PARTIAL
devops_automation.py,False,False,False,0,1,PARTIAL
devops_loop.py,False,False,False,0,8,PARTIAL
digital_twin_system.py,False,False,False,0,4,PARTIAL
email_scheduler_daemon.py,False,False,False,0,5,PARTIAL
enhanced_self_healing.py,False,False,False,0,4,PARTIAL
gumroad_revenue_agent.py,False,False,False,0,6,PARTIAL
invariant_monitor.py,False,False,False,0,3,PARTIAL
knowledge_graph_extractor.py,False,False,False,0,3,PARTIAL
langgraph_workflow_trigger.py,False,False,False,0,2,PARTIAL
lead_discovery_engine.py,False,False,False,0,11,PARTIAL
